country,year,state,city,refugees
Afghanistan,2002,Alabama,Mobile,10
Croatia,2002,Alabama,Mobile,3
Cuba,2002,Alabama,Mobile,4
Iran,2002,Alabama,Birmingham,1
Iran,2002,Alabama,Mobile,1
Serbia,2002,Alabama,Mobile,5
Sierra Leone,2002,Alabama,Mobile,2
Sudan,2002,Alabama,Mobile,1
Ukraine,2002,Alabama,Huntsville,2
Vietnam,2002,Alabama,Mobile,7
Vietnam,2002,Alabama,Prattville,3
Bosnia and Herzegovina,2002,Alaska,Anchorage,1
Moldova,2002,Alaska,Delta Junction,12
Russia,2002,Alaska,Palmer,5
Ukraine,2002,Alaska,Delta Junction,11
Ukraine,2002,Alaska,Wasilla,2
Afghanistan,2002,Arizona,Chandler,4
Afghanistan,2002,Arizona,Phoenix,142
Afghanistan,2002,Arizona,Tucson,52
Angola,2002,Arizona,Phoenix,1
Belarus,2002,Arizona,Tucson,2
Bosnia and Herzegovina,2002,Arizona,Glendale,6
Bosnia and Herzegovina,2002,Arizona,Phoenix,44
Bosnia and Herzegovina,2002,Arizona,Scottsdale,6
Bosnia and Herzegovina,2002,Arizona,Tempe,2
Bosnia and Herzegovina,2002,Arizona,Tucson,18
Burma,2002,Arizona,Phoenix,10
Burundi,2002,Arizona,Phoenix,12
Burundi,2002,Arizona,Tucson,1
Cameroon,2002,Arizona,Phoenix,2
Colombia,2002,Arizona,Phoenix,2
Congo,2002,Arizona,Phoenix,2
Congo,2002,Arizona,Tucson,2
Croatia,2002,Arizona,Chandler,3
Croatia,2002,Arizona,Phoenix,7
Croatia,2002,Arizona,Tucson,9
Cuba,2002,Arizona,Glendale,1
Cuba,2002,Arizona,Phoenix,61
Dem. Rep. Congo,2002,Arizona,Glendale,2
Dem. Rep. Congo,2002,Arizona,Phoenix,1
Ethiopia,2002,Arizona,Phoenix,16
Ethiopia,2002,Arizona,Tucson,5
Iran,2002,Arizona,Glendale,3
Iran,2002,Arizona,Paradise Valley,2
Iran,2002,Arizona,Phoenix,24
Iran,2002,Arizona,Scottsdale,9
Iran,2002,Arizona,Tucson,3
Iraq,2002,Arizona,Glendale,6
Iraq,2002,Arizona,Mesa,5
Iraq,2002,Arizona,Phoenix,29
Iraq,2002,Arizona,Tucson,7
Liberia,2002,Arizona,Phoenix,12
Nigeria,2002,Arizona,Phoenix,2
Russia,2002,Arizona,Phoenix,4
Russia,2002,Arizona,Tucson,10
Rwanda,2002,Arizona,Glendale,2
Serbia,2002,Arizona,Gilbert,4
Serbia,2002,Arizona,Glendale,4
Serbia,2002,Arizona,Phoenix,184
Serbia,2002,Arizona,Scottsdale,4
Serbia,2002,Arizona,Tucson,36
Serbia,2002,Arizona,Wickenburg,1
Sierra Leone,2002,Arizona,Phoenix,3
Somalia,2002,Arizona,Phoenix,2
Somalia,2002,Arizona,Tucson,1
Sudan,2002,Arizona,Glendale,7
Sudan,2002,Arizona,Phoenix,62
Sudan,2002,Arizona,Tucson,16
Syria,2002,Arizona,Glendale,1
Togo,2002,Arizona,Phoenix,1
Ukraine,2002,Arizona,Phoenix,1
Ukraine,2002,Arizona,Tucson,25
Uzbekistan,2002,Arizona,Phoenix,2
Vietnam,2002,Arizona,Phoenix,28
Vietnam,2002,Arizona,Tempe,8
Vietnam,2002,Arizona,Tucson,12
Zambia,2002,Arizona,Glendale,1
Afghanistan,2002,California,Burbank,6
Afghanistan,2002,California,Canoga Park,2
Afghanistan,2002,California,Concord,6
Afghanistan,2002,California,Fontana,1
Afghanistan,2002,California,Fremont,22
Afghanistan,2002,California,Garden Grove,5
Afghanistan,2002,California,Hayward,13
Afghanistan,2002,California,Irvine,6
Afghanistan,2002,California,La Mesa,8
Afghanistan,2002,California,Los Angeles,8
Afghanistan,2002,California,Modesto,9
Afghanistan,2002,California,Newark,6
Afghanistan,2002,California,Newport Beach,1
Afghanistan,2002,California,Rancho Cucamonga,7
Afghanistan,2002,California,San Diego,61
Afghanistan,2002,California,San Francisco,9
Afghanistan,2002,California,San Jose,6
Afghanistan,2002,California,San Leandro,4
Afghanistan,2002,California,San Lorenzo,3
Afghanistan,2002,California,Spring Valley,2
Afghanistan,2002,California,Union City,10
Afghanistan,2002,California,Walnut Creek,5
Afghanistan,2002,California,West Sacramento,1
Armenia,2002,California,Fresno,9
Armenia,2002,California,Glendale,1
Armenia,2002,California,Rancho Cordova,10
Armenia,2002,California,Sacramento,5
Armenia,2002,California,San Francisco,1
Armenia,2002,California,Sun Valley,1
Azerbaijan,2002,California,Upland,3
Belarus,2002,California,Antelope,2
Belarus,2002,California,Carmichael,1
Belarus,2002,California,Citrus Heights,7
Belarus,2002,California,Fair Oaks,6
Belarus,2002,California,Fremont,2
Belarus,2002,California,Granada Hills,4
Belarus,2002,California,Granite Bay,2
Belarus,2002,California,Los Angeles,10
Belarus,2002,California,Martinez,4
Belarus,2002,California,Rancho Cordova,24
Belarus,2002,California,Sacramento,66
Belarus,2002,California,San Francisco,20
Belarus,2002,California,San Jose,9
Belarus,2002,California,Santa Barbara,1
Bosnia and Herzegovina,2002,California,Alameda,10
Bosnia and Herzegovina,2002,California,Campbell,4
Bosnia and Herzegovina,2002,California,Concord,2
Bosnia and Herzegovina,2002,California,Oakland,6
Bosnia and Herzegovina,2002,California,Palm Springs,5
Bosnia and Herzegovina,2002,California,Sacramento,1
Bosnia and Herzegovina,2002,California,San Diego,17
Bosnia and Herzegovina,2002,California,San Jose,14
Bosnia and Herzegovina,2002,California,San Leandro,2
Bosnia and Herzegovina,2002,California,Santa Clara,4
Bosnia and Herzegovina,2002,California,Walnut Creek,21
Burma,2002,California,San Francisco,3
Burma,2002,California,Westminster,2
Croatia,2002,California,San Diego,4
Cuba,2002,California,Burlingame,2
Cuba,2002,California,Gardena,1
Cuba,2002,California,Glendale,2
Cuba,2002,California,Hacienda Heights,3
Cuba,2002,California,Joshua Tree,2
Cuba,2002,California,San Diego,2
Cuba,2002,California,Westminster,2
Dem. Rep. Congo,2002,California,San Diego,1
Eritrea,2002,California,Alameda,1
Eritrea,2002,California,Hawthorne,1
Estonia,2002,California,Sacramento,5
Ethiopia,2002,California,Los Angeles,1
Ethiopia,2002,California,Palo Alto,1
Ethiopia,2002,California,San Diego,14
Ethiopia,2002,California,San Jose,5
Georgia,2002,California,Sacramento,9
Iran,2002,California,Agoura Hills,4
Iran,2002,California,Aliso Viejo,2
Iran,2002,California,Alta Loma,2
Iran,2002,California,Anaheim,7
Iran,2002,California,Antelope,2
Iran,2002,California,Bellflower,1
Iran,2002,California,Beverly Hills,36
Iran,2002,California,Buena Park,1
Iran,2002,California,Burbank,27
Iran,2002,California,Calabasas,2
Iran,2002,California,Canoga Park,6
Iran,2002,California,Carlsbad,3
Iran,2002,California,Carmichael,5
Iran,2002,California,Chatsworth,1
Iran,2002,California,Citrus Heights,3
Iran,2002,California,Clovis,2
Iran,2002,California,Concord,3
Iran,2002,California,Cupertino,1
Iran,2002,California,El Cajon,7
Iran,2002,California,Encino,19
Iran,2002,California,Escondido,12
Iran,2002,California,Fair Oaks,2
Iran,2002,California,Folsom,3
Iran,2002,California,Fountain Valley,6
Iran,2002,California,Fremont,4
Iran,2002,California,Fresno,9
Iran,2002,California,Fullerton,8
Iran,2002,California,Glendale,150
Iran,2002,California,Glendora,1
Iran,2002,California,Granada Hills,12
Iran,2002,California,Hesperia,4
Iran,2002,California,Huntington Beach,6
Iran,2002,California,Irvine,5
Iran,2002,California,La Crescenta,17
Iran,2002,California,La Mesa,5
Iran,2002,California,La Puente,1
Iran,2002,California,Laguna Hills,2
Iran,2002,California,Lakeside,3
Iran,2002,California,Lancaster,1
Iran,2002,California,Long Beach,3
Iran,2002,California,Los Alamitos,2
Iran,2002,California,Los Altos Hills,1
Iran,2002,California,Los Angeles,132
Iran,2002,California,Los Gatos,2
Iran,2002,California,Mission Viejo,3
Iran,2002,California,Modesto,4
Iran,2002,California,Montrose,4
Iran,2002,California,Moorpark,2
Iran,2002,California,Moreno Valley,1
Iran,2002,California,Morgan Hill,5
Iran,2002,California,Newhall,5
Iran,2002,California,North Hollywood,1
Iran,2002,California,Northridge,11
Iran,2002,California,Norwalk,1
Iran,2002,California,Palo Alto,2
Iran,2002,California,Pasadena,4
Iran,2002,California,Pinole,15
Iran,2002,California,Pleasanton,1
Iran,2002,California,Poway,3
Iran,2002,California,Rancho Santa Margarita,3
Iran,2002,California,Redwood City,3
Iran,2002,California,Reseda,9
Iran,2002,California,Richmond,1
Iran,2002,California,Sacramento,6
Iran,2002,California,San Diego,19
Iran,2002,California,San Jose,56
Iran,2002,California,San Marcos,1
Iran,2002,California,San Mateo,1
Iran,2002,California,San Ramon,2
Iran,2002,California,Santa Clara,4
Iran,2002,California,Santa Margarita,1
Iran,2002,California,Santa Monica,12
Iran,2002,California,Saugus,5
Iran,2002,California,Sherman Oaks,7
Iran,2002,California,Simi Valley,1
Iran,2002,California,Studio City,4
Iran,2002,California,Sun Valley,3
Iran,2002,California,Sunland,4
Iran,2002,California,Sunnyvale,4
Iran,2002,California,Tarzana,34
Iran,2002,California,Toluca Lake,4
Iran,2002,California,Torrance,1
Iran,2002,California,Tujunga,11
Iran,2002,California,Turlock,42
Iran,2002,California,Tustin,1
Iran,2002,California,Valencia,6
Iran,2002,California,Valley Village,1
Iran,2002,California,Van Nuys,17
Iran,2002,California,Walnut Creek,2
Iran,2002,California,West Los Angeles,4
Iran,2002,California,Westminster,2
Iran,2002,California,Winnetka,9
Iran,2002,California,Woodland Hills,27
Iran,2002,California,Yorba Linda,4
Iraq,2002,California,El Cajon,3
Iraq,2002,California,Garden Grove,4
Iraq,2002,California,Lakeside,6
Iraq,2002,California,Los Angeles,3
Iraq,2002,California,Milpitas,6
Iraq,2002,California,Modesto,8
Iraq,2002,California,Poway,4
Iraq,2002,California,San Jose,5
Kazakhstan,2002,California,Castro Valley,5
Kazakhstan,2002,California,Fair Oaks,2
Kazakhstan,2002,California,Glendale,6
Kazakhstan,2002,California,Hillsborough,2
Kazakhstan,2002,California,Los Angeles,4
Kazakhstan,2002,California,Rancho Cordova,25
Kazakhstan,2002,California,Sacramento,14
Kazakhstan,2002,California,San Francisco,1
Kazakhstan,2002,California,West Sacramento,4
Kyrgyzstan,2002,California,Corona,4
Kyrgyzstan,2002,California,Sacramento,1
Laos,2002,California,Sacramento,18
Latvia,2002,California,Irvine,1
Latvia,2002,California,San Diego,4
Latvia,2002,California,San Francisco,2
Lebanon,2002,California,Los Angeles,1
Liberia,2002,California,Antioch,1
Liberia,2002,California,Bay Point,3
Liberia,2002,California,Oakland,6
Liberia,2002,California,Sacramento,1
Liberia,2002,California,San Leandro,11
Liberia,2002,California,Vallejo,1
Moldova,2002,California,Carmichael,18
Moldova,2002,California,Citrus Heights,5
Moldova,2002,California,North Highlands,6
Moldova,2002,California,Rancho Cordova,104
Moldova,2002,California,Sacramento,146
Moldova,2002,California,San Diego,8
Moldova,2002,California,San Francisco,4
Moldova,2002,California,Victorville,1
Russia,2002,California,Agoura Hills,6
Russia,2002,California,Alameda,6
Russia,2002,California,Antelope,1
Russia,2002,California,Carmichael,11
Russia,2002,California,Castro Valley,3
Russia,2002,California,Citrus Heights,5
Russia,2002,California,Corona,3
Russia,2002,California,Cupertino,3
Russia,2002,California,Elverta,6
Russia,2002,California,Encino,2
Russia,2002,California,Fair Oaks,4
Russia,2002,California,Fremont,3
Russia,2002,California,Fresno,6
Russia,2002,California,Hayward,5
Russia,2002,California,Kensington,3
Russia,2002,California,Los Angeles,33
Russia,2002,California,Modesto,8
Russia,2002,California,Mountain View,10
Russia,2002,California,North Highlands,27
Russia,2002,California,North Hills,3
Russia,2002,California,Northridge,4
Russia,2002,California,Oakland,2
Russia,2002,California,Palo Alto,2
Russia,2002,California,Pasadena,2
Russia,2002,California,Pleasant Hill,1
Russia,2002,California,Rancho Cordova,27
Russia,2002,California,Redondo Beach,2
Russia,2002,California,Sacramento,125
Russia,2002,California,San Diego,17
Russia,2002,California,San Francisco,39
Russia,2002,California,San Jose,13
Russia,2002,California,San Mateo,4
Russia,2002,California,Santa Clara,2
Russia,2002,California,Santa Monica,2
Russia,2002,California,Santa Rosa,2
Russia,2002,California,Sherman Oaks,1
Russia,2002,California,Sunnyvale,11
Russia,2002,California,Tarzana,3
Russia,2002,California,Tustin,2
Russia,2002,California,Van Nuys,3
Russia,2002,California,West Hills,5
Russia,2002,California,West Hollywood,7
Russia,2002,California,West Sacramento,67
Serbia,2002,California,Carmichael,5
Serbia,2002,California,Concord,4
Serbia,2002,California,Elk Grove,2
Serbia,2002,California,Hayward,4
Serbia,2002,California,Oakland,5
Serbia,2002,California,Palm Desert,3
Serbia,2002,California,San Diego,13
Serbia,2002,California,San Francisco,8
Serbia,2002,California,San Jose,7
Sierra Leone,2002,California,San Jose,13
Somalia,2002,California,Long Beach,1
Somalia,2002,California,San Diego,23
Sudan,2002,California,Garden Grove,7
Sudan,2002,California,Oakland,1
Sudan,2002,California,San Diego,12
Sudan,2002,California,San Jose,5
Togo,2002,California,El Cajon,1
Ukraine,2002,California,Antelope,32
Ukraine,2002,California,Belmont,3
Ukraine,2002,California,Campbell,2
Ukraine,2002,California,Carmichael,19
Ukraine,2002,California,Citrus Heights,64
Ukraine,2002,California,Daly City,2
Ukraine,2002,California,Elk Grove,5
Ukraine,2002,California,Elverta,17
Ukraine,2002,California,Fair Oaks,37
Ukraine,2002,California,Fremont,2
Ukraine,2002,California,Fresno,26
Ukraine,2002,California,Goleta,4
Ukraine,2002,California,Granada Hills,2
Ukraine,2002,California,Hemet,9
Ukraine,2002,California,Hesperia,9
Ukraine,2002,California,La Mesa,2
Ukraine,2002,California,Los Angeles,29
Ukraine,2002,California,Marina Del Rey,2
Ukraine,2002,California,Modesto,14
Ukraine,2002,California,Montebello,5
Ukraine,2002,California,Monterey,3
Ukraine,2002,California,Mountain View,6
Ukraine,2002,California,North Highlands,165
Ukraine,2002,California,North Hollywood,3
Ukraine,2002,California,Oakland,2
Ukraine,2002,California,Orangevale,3
Ukraine,2002,California,Palo Alto,2
Ukraine,2002,California,Pleasant Hill,2
Ukraine,2002,California,Rancho Cordova,215
Ukraine,2002,California,Reseda,2
Ukraine,2002,California,Rio Linda,7
Ukraine,2002,California,Rocklin,4
Ukraine,2002,California,Roseville,40
Ukraine,2002,California,Sacramento,693
Ukraine,2002,California,San Bruno,2
Ukraine,2002,California,San Diego,15
Ukraine,2002,California,San Francisco,57
Ukraine,2002,California,San Jose,13
Ukraine,2002,California,San Mateo,13
Ukraine,2002,California,Santa Barbara,3
Ukraine,2002,California,Santa Monica,1
Ukraine,2002,California,Shingle Springs,1
Ukraine,2002,California,Sunnyvale,2
Ukraine,2002,California,Tarzana,2
Ukraine,2002,California,Valley Village,4
Ukraine,2002,California,Van Nuys,4
Ukraine,2002,California,Vista,5
Ukraine,2002,California,Walnut Creek,4
Ukraine,2002,California,West Sacramento,59
Ukraine,2002,California,Woodland,2
Ukraine,2002,California,Woodland Hills,3
Uzbekistan,2002,California,Antelope,2
Uzbekistan,2002,California,Los Angeles,5
Uzbekistan,2002,California,Panorama City,4
Uzbekistan,2002,California,Rancho Cordova,6
Uzbekistan,2002,California,Sacramento,5
Uzbekistan,2002,California,San Diego,2
Uzbekistan,2002,California,San Francisco,2
Uzbekistan,2002,California,San Jose,4
Uzbekistan,2002,California,Sherman Oaks,3
Uzbekistan,2002,California,West Sacramento,17
Vietnam,2002,California,Alameda,7
Vietnam,2002,California,Anaheim,22
Vietnam,2002,California,Canoga Park,11
Vietnam,2002,California,Chula Vista,2
Vietnam,2002,California,Costa Mesa,4
Vietnam,2002,California,Daly City,2
Vietnam,2002,California,El Monte,8
Vietnam,2002,California,Elk Grove,1
Vietnam,2002,California,Encino,7
Vietnam,2002,California,Fountain Valley,12
Vietnam,2002,California,Fremont,8
Vietnam,2002,California,Fresno,3
Vietnam,2002,California,Garden Grove,123
Vietnam,2002,California,Gardena,1
Vietnam,2002,California,Huntington Beach,1
Vietnam,2002,California,Irvine,2
Vietnam,2002,California,Long Beach,10
Vietnam,2002,California,Los Angeles,3
Vietnam,2002,California,Midway City,6
Vietnam,2002,California,Milpitas,7
Vietnam,2002,California,Modesto,1
Vietnam,2002,California,Montclair,9
Vietnam,2002,California,Mountain View,4
Vietnam,2002,California,Oakland,22
Vietnam,2002,California,Ontario,6
Vietnam,2002,California,Pleasant Hill,1
Vietnam,2002,California,Pomona,2
Vietnam,2002,California,Redwood City,2
Vietnam,2002,California,Reseda,3
Vietnam,2002,California,Rosemead,5
Vietnam,2002,California,Sacramento,31
Vietnam,2002,California,San Bernardino,2
Vietnam,2002,California,San Diego,116
Vietnam,2002,California,San Francisco,21
Vietnam,2002,California,San Gabriel,3
Vietnam,2002,California,San Jose,166
Vietnam,2002,California,San Leandro,1
Vietnam,2002,California,San Rafael,2
Vietnam,2002,California,Santa Ana,17
Vietnam,2002,California,Santa Rosa,6
Vietnam,2002,California,Stanton,7
Vietnam,2002,California,Stockton,4
Vietnam,2002,California,West Covina,3
Vietnam,2002,California,Westminster,60
Vietnam,2002,California,Yorba Linda,2
Afghanistan,2002,Colorado,Colorado Springs,10
Afghanistan,2002,Colorado,Denver,4
Afghanistan,2002,Colorado,Lakewood,11
Afghanistan,2002,Colorado,Thornton,4
Azerbaijan,2002,Colorado,Denver,3
Azerbaijan,2002,Colorado,Lakewood,1
Belarus,2002,Colorado,Denver,14
Bosnia and Herzegovina,2002,Colorado,Aurora,1
Bosnia and Herzegovina,2002,Colorado,Boulder,3
Bosnia and Herzegovina,2002,Colorado,Colorado Springs,8
Bosnia and Herzegovina,2002,Colorado,Denver,24
Bosnia and Herzegovina,2002,Colorado,Edgewater,2
Bosnia and Herzegovina,2002,Colorado,Lakewood,7
Bosnia and Herzegovina,2002,Colorado,Littleton,7
Bosnia and Herzegovina,2002,Colorado,Wheat Ridge,3
Burundi,2002,Colorado,Lakewood,1
Cuba,2002,Colorado,Colorado Springs,4
Cuba,2002,Colorado,Denver,8
Dem. Rep. Congo,2002,Colorado,Aurora,2
Dem. Rep. Congo,2002,Colorado,Denver,1
Ethiopia,2002,Colorado,Aurora,1
Ethiopia,2002,Colorado,Denver,16
Iran,2002,Colorado,Aurora,1
Iran,2002,Colorado,Denver,1
Iran,2002,Colorado,Westminster,3
Iraq,2002,Colorado,Denver,17
Iraq,2002,Colorado,Golden,3
Liberia,2002,Colorado,Denver,1
Nigeria,2002,Colorado,Lakewood,4
Russia,2002,Colorado,Arvada,35
Russia,2002,Colorado,Aurora,18
Russia,2002,Colorado,Broomfield,2
Russia,2002,Colorado,Denver,25
Russia,2002,Colorado,Henderson,2
Russia,2002,Colorado,Northglenn,3
Russia,2002,Colorado,Westminster,10
Serbia,2002,Colorado,Arvada,9
Serbia,2002,Colorado,Colorado Springs,14
Serbia,2002,Colorado,Denver,38
Serbia,2002,Colorado,Lakewood,3
Sierra Leone,2002,Colorado,Denver,4
Somalia,2002,Colorado,Aurora,1
Somalia,2002,Colorado,Denver,1
Sudan,2002,Colorado,Arvada,5
Sudan,2002,Colorado,Aurora,4
Sudan,2002,Colorado,Denver,14
Sudan,2002,Colorado,Highlands Ranch,7
Sudan,2002,Colorado,Lakewood,1
Sudan,2002,Colorado,Wheat Ridge,6
Ukraine,2002,Colorado,Arvada,30
Ukraine,2002,Colorado,Aurora,3
Ukraine,2002,Colorado,Denver,10
Ukraine,2002,Colorado,Lakewood,14
Ukraine,2002,Colorado,Parker,2
Uzbekistan,2002,Colorado,Aurora,4
Vietnam,2002,Colorado,Aurora,6
Vietnam,2002,Colorado,Colorado Springs,8
Vietnam,2002,Colorado,Denver,31
Vietnam,2002,Colorado,Highlands Ranch,2
Vietnam,2002,Colorado,Westminster,3
Afghanistan,2002,Connecticut,Bridgeport,30
Afghanistan,2002,Connecticut,Hartford,6
Afghanistan,2002,Connecticut,Killingworth,6
Afghanistan,2002,Connecticut,New Haven,2
Angola,2002,Connecticut,New Haven,6
Bosnia and Herzegovina,2002,Connecticut,Ansonia,4
Bosnia and Herzegovina,2002,Connecticut,Branford,1
Bosnia and Herzegovina,2002,Connecticut,Derby,1
Bosnia and Herzegovina,2002,Connecticut,Hartford,290
Bosnia and Herzegovina,2002,Connecticut,Milford,5
Bosnia and Herzegovina,2002,Connecticut,New Britain,17
Bosnia and Herzegovina,2002,Connecticut,New Haven,7
Bosnia and Herzegovina,2002,Connecticut,Rocky Hill,5
Bosnia and Herzegovina,2002,Connecticut,Torrington,1
Burundi,2002,Connecticut,Hebron,3
Chad,2002,Connecticut,New Haven,1
Cuba,2002,Connecticut,New Haven,9
Ethiopia,2002,Connecticut,New Haven,6
Iran,2002,Connecticut,Glastonbury,1
Iran,2002,Connecticut,Hartford,3
Iran,2002,Connecticut,Kensington,3
Iran,2002,Connecticut,New Britain,4
Iran,2002,Connecticut,Newtown,1
Iran,2002,Connecticut,Vernon,1
Iraq,2002,Connecticut,Bridgeport,6
Iraq,2002,Connecticut,West Haven,5
Russia,2002,Connecticut,Bridgeport,3
Russia,2002,Connecticut,New Haven,4
Russia,2002,Connecticut,New Milford,2
Russia,2002,Connecticut,Ridgefield,1
Russia,2002,Connecticut,West Hartford,5
Serbia,2002,Connecticut,Bridgeport,5
Serbia,2002,Connecticut,Hartford,6
Serbia,2002,Connecticut,New Haven,3
Serbia,2002,Connecticut,Newtown,1
Sierra Leone,2002,Connecticut,New Haven,3
Somalia,2002,Connecticut,Bridgeport,1
Sudan,2002,Connecticut,Hartford,4
Sudan,2002,Connecticut,West Hartford,1
Ukraine,2002,Connecticut,Colchester,4
Ukraine,2002,Connecticut,Hartford,1
Ukraine,2002,Connecticut,Stamford,2
Ukraine,2002,Connecticut,West Hartford,6
Vietnam,2002,Connecticut,Bridgeport,10
Vietnam,2002,Connecticut,Hartford,1
Vietnam,2002,Connecticut,New Haven,3
Vietnam,2002,Connecticut,Vernon,3
Afghanistan,2002,Delaware,Dover,1
Afghanistan,2002,Delaware,Newark,8
Afghanistan,2002,Delaware,Smyrna,7
Liberia,2002,Delaware,Claymont,12
Liberia,2002,Delaware,Smyrna,3
Liberia,2002,Delaware,Wilmington,1
Serbia,2002,Delaware,Newark,3
Sierra Leone,2002,Delaware,Dover,1
Ethiopia,2002,District of Columbia,Washington,12
Russia,2002,District of Columbia,Washington,5
Sierra Leone,2002,District of Columbia,Washington,3
Sudan,2002,District of Columbia,Washington,8
Vietnam,2002,District of Columbia,Washington,3
Afghanistan,2002,Florida,Jacksonville,52
Afghanistan,2002,Florida,New Port Richey,16
Afghanistan,2002,Florida,Saint Petersburg,5
Afghanistan,2002,Florida,Tampa,12
Albania,2002,Florida,Saint Petersburg,2
Belarus,2002,Florida,Miami Beach,1
Belarus,2002,Florida,North Miami Beach,3
Belarus,2002,Florida,North Port,6
Belarus,2002,Florida,Orlando,3
Belarus,2002,Florida,Winter Park,1
Bosnia and Herzegovina,2002,Florida,Clearwater,4
Bosnia and Herzegovina,2002,Florida,Gulfport,1
Bosnia and Herzegovina,2002,Florida,Jacksonville,91
Bosnia and Herzegovina,2002,Florida,New Port Richey,6
Bosnia and Herzegovina,2002,Florida,Orlando,10
Bosnia and Herzegovina,2002,Florida,Palm Harbor,9
Bosnia and Herzegovina,2002,Florida,Pinellas Park,33
Bosnia and Herzegovina,2002,Florida,Port Richey,5
Bosnia and Herzegovina,2002,Florida,Saint Petersburg,7
Bosnia and Herzegovina,2002,Florida,Tampa,1
Burma,2002,Florida,Jacksonville,1
Burundi,2002,Florida,Longwood,5
Colombia,2002,Florida,Miami,2
Colombia,2002,Florida,Saint Petersburg,1
Croatia,2002,Florida,Jacksonville,7
Croatia,2002,Florida,Longwood,4
Cuba,2002,Florida,Apopka,4
Cuba,2002,Florida,Belle Glade,5
Cuba,2002,Florida,Casselberry,3
Cuba,2002,Florida,Clewiston,2
Cuba,2002,Florida,Coral Gables,3
Cuba,2002,Florida,Dade City,8
Cuba,2002,Florida,Daytona Beach,3
Cuba,2002,Florida,Florida City,1
Cuba,2002,Florida,Fort Lauderdale,9
Cuba,2002,Florida,Hallandale,3
Cuba,2002,Florida,Hialeah,326
Cuba,2002,Florida,Hialeah Gardens,2
Cuba,2002,Florida,Hollywood,4
Cuba,2002,Florida,Homestead,20
Cuba,2002,Florida,Indiantown,7
Cuba,2002,Florida,Jacksonville,5
Cuba,2002,Florida,Lake Worth,8
Cuba,2002,Florida,Medley,5
Cuba,2002,Florida,Miami,422
Cuba,2002,Florida,Miami Beach,3
Cuba,2002,Florida,Miami Lakes,12
Cuba,2002,Florida,Miami Springs,2
Cuba,2002,Florida,Miramar,4
Cuba,2002,Florida,Naples,30
Cuba,2002,Florida,New Port Richey,3
Cuba,2002,Florida,North Miami Beach,1
Cuba,2002,Florida,Opa-Locka,5
Cuba,2002,Florida,Orlando,22
Cuba,2002,Florida,Pembroke Pines,11
Cuba,2002,Florida,Plantation,8
Cuba,2002,Florida,Pompano Beach,4
Cuba,2002,Florida,Princeton,2
Cuba,2002,Florida,Saint Petersburg,17
Cuba,2002,Florida,Tampa,78
Cuba,2002,Florida,Venice,2
Cuba,2002,Florida,Vero Beach,2
Cuba,2002,Florida,West Palm Beach,16
Cuba,2002,Florida,Winter Springs,1
Cuba,2002,Florida,Zephyrhills,1
Eritrea,2002,Florida,Tampa,1
Ethiopia,2002,Florida,Jacksonville,1
Ethiopia,2002,Florida,New Port Richey,5
Ethiopia,2002,Florida,Orlando,2
Haiti,2002,Florida,Orlando,3
Iran,2002,Florida,Hollywood,1
Iran,2002,Florida,Jacksonville,24
Iran,2002,Florida,Miami,4
Iran,2002,Florida,North Miami Beach,1
Iran,2002,Florida,Orlando,1
Iran,2002,Florida,Palm Harbor,1
Iran,2002,Florida,Pembroke Pines,1
Iran,2002,Florida,West Palm Beach,2
Iraq,2002,Florida,Port Richey,2
Liberia,2002,Florida,Jacksonville,6
Liberia,2002,Florida,Palm Bay,6
Mauritania,2002,Florida,Jacksonville,5
Moldova,2002,Florida,Tampa,22
Russia,2002,Florida,Coral Springs,1
Russia,2002,Florida,Dunnellon,1
Russia,2002,Florida,North Miami Beach,2
Russia,2002,Florida,North Port,6
Russia,2002,Florida,Pinecrest,4
Russia,2002,Florida,Plantation,2
Russia,2002,Florida,Sarasota,4
Russia,2002,Florida,Tamarac,2
Serbia,2002,Florida,Brandon,4
Serbia,2002,Florida,Casselberry,9
Serbia,2002,Florida,Clearwater,5
Serbia,2002,Florida,Jacksonville,69
Serbia,2002,Florida,Largo,6
Serbia,2002,Florida,Maitland,11
Serbia,2002,Florida,New Port Richey,18
Serbia,2002,Florida,Orlando,29
Serbia,2002,Florida,Pinellas Park,1
Serbia,2002,Florida,Saint Petersburg,78
Serbia,2002,Florida,Sarasota,4
Serbia,2002,Florida,Tampa,22
Serbia,2002,Florida,Winter Springs,5
Somalia,2002,Florida,New Port Richey,2
Sudan,2002,Florida,Jacksonville,7
Sudan,2002,Florida,New Port Richey,4
Sudan,2002,Florida,Orlando,6
Sudan,2002,Florida,Port Richey,1
Sudan,2002,Florida,Saint Petersburg,1
Ukraine,2002,Florida,Aventura,2
Ukraine,2002,Florida,Clearwater,12
Ukraine,2002,Florida,Hallandale,1
Ukraine,2002,Florida,Jacksonville,15
Ukraine,2002,Florida,Key West,1
Ukraine,2002,Florida,North Miami Beach,4
Ukraine,2002,Florida,North Port,53
Ukraine,2002,Florida,Oviedo,7
Ukraine,2002,Florida,Palm Coast,5
Ukraine,2002,Florida,Saint Petersburg,5
Ukraine,2002,Florida,Sarasota,11
Ukraine,2002,Florida,South Pasadena,1
Ukraine,2002,Florida,Tarpon Springs,2
Ukraine,2002,Florida,West Palm Beach,2
Vietnam,2002,Florida,Clearwater,3
Vietnam,2002,Florida,Clermont,8
Vietnam,2002,Florida,Jacksonville,18
